8.51E-19	1.7E-20
8.26E-19	1.6524E-20
8.20E-19	1.64012E-20
8.09E-19	1.6E-20
7.89E-19	1.57871E-20
8.11E-19	1.62233E-20
9.30E-19	1.9E-20
8.26E-19	1.7E-20
8.50E-19	1.70144E-20
8.17E-19	1.63459E-20
5.32E-19	1.1E-20
5.11E-19	1.0E-20
4.85E-19	9.69998E-21
4.89E-19	9.8E-21
5.28E-19	1.05661E-20
5.31E-19	1.0631E-20
6.16E-19	1.2E-20
6.20E-19	1.24025E-20
6.12E-19	1.22425E-20
6.60E-19	1.3E-20
6.56E-19	1.31202E-20
6.17E-19	1.23349E-20
6.45E-19	1.3E-20
6.68E-19	1.33591E-20
6.54E-19	1.30845E-20
6.84E-19	1.4E-20
6.60E-19	1.31968E-20
5.95E-19	1.2E-20
6.35E-19	1.26992E-20
5.84E-19	1.1687E-20
5.93E-19	1.18568E-20
8.42E-19	1.7E-20
7.80E-19	1.55995E-20
8.31E-19	1.66356E-20
7.86E-19	1.6E-20
7.78E-19	1.55598E-20
7.91E-19	1.58348E-20
7.92E-19	1.6E-20
7.87E-19	1.57377E-20
8.09E-19	1.61808E-20
7.92E-19	1.6E-20
8.10E-19	1.62032E-20
7.51E-19	1.50179E-20
3.41E-19	6.8E-21
3.58E-19	7.16519E-21
3.24E-19	6.49E-21
3.51E-19	7.0E-21
3.47E-19	6.94449E-21
3.39E-19	6.78263E-21
8.19E-19	1.6E-20
8.19E-19	1.63941E-20
8.49E-19	1.69915E-20
8.30E-19	1.7E-20
8.57E-19	1.71424E-20
8.48E-19	1.69594E-20
9.68E-19	1.9E-20
9.31E-19	1.86182E-20
9.49E-19	1.899E-20
9.87E-19	2.0E-20
9.30E-19	1.86094E-20
9.68E-19	1.93711E-20
