1.48774E-06	2.00119E-08	2.58527E+05	1.03443E+04
6.33156E-07	8.60906E-09	1.22030E+05	4.88273E+03
6.09291E-07	8.28956E-09	1.06727E+05	4.27042E+03
1.55450E-06	2.09006E-08	2.78501E+05	1.11435E+04
8.57842E-07	1.16132E-08	1.50659E+05	6.02823E+03
1.16320E-06	1.56880E-08	2.04323E+05	8.17548E+03
7.73299E-07	1.04836E-08	1.37327E+05	5.49478E+03
1.39093E-06	1.87225E-08	2.51517E+05	1.00638E+04
1.00250E-06	1.35444E-08	1.83507E+05	7.34257E+03
7.02939E-07	9.54281E-09	1.19370E+05	4.77630E+03
9.97798E-07	1.34817E-08	1.72472E+05	6.90104E+03
6.95009E-07	9.43674E-09	1.23428E+05	4.93865E+03
1.22291E-06	1.64838E-08	2.18182E+05	8.73000E+03
5.39804E-07	7.35870E-09	9.55170E+04	3.82187E+03
2.01418E-06	2.70161E-08	3.55051E+05	1.42065E+04
