1.54842E-06	2.04111E-08	2.58527E+05	1.03443E+04
6.72949E-07	8.87076E-09	1.22030E+05	4.88273E+03
6.48339E-07	8.54635E-09	1.06727E+05	4.27042E+03
1.61651E-06	2.13087E-08	2.78501E+05	1.11435E+04
9.04062E-07	1.19173E-08	1.50659E+05	6.02823E+03
1.21692E-06	1.60414E-08	2.04323E+05	8.17548E+03
8.17212E-07	1.07724E-08	1.37327E+05	5.49478E+03
1.44962E-06	1.91087E-08	2.51517E+05	1.00638E+04
1.05241E-06	1.38728E-08	1.83507E+05	7.34257E+03
7.44835E-07	9.81835E-09	1.19370E+05	4.77630E+03
1.04760E-06	1.38093E-08	1.72472E+05	6.90104E+03
7.36672E-07	9.71075E-09	1.23428E+05	4.93865E+03
1.27797E-06	1.68462E-08	2.18182E+05	8.73000E+03
5.76593E-07	7.60061E-09	9.55170E+04	3.82187E+03
2.08468E-06	2.74801E-08	3.55051E+05	1.42065E+04
